link,artist,artist_country,keywords,subject,styles,mediums,materials,list_price,category,height,width,depth
/art/Painting-Harmony-II/743331/2640861/view,Diana Linsse,Germany,"soul, body, yoga, buddha, calm, mindfulness, MINDART, harmony, health, meditation, mind",Health & Beauty,"Abstract, Fine Art, Modern",Acrylic,Canvas,"$3,249.00",Painting,39.4  H, 39.4  W,1.2
/art/Painting-On-the-island-with-parrot/675342/2245534/view,A Sabatt,Spain,"parrot, portrait, bird, body, women, oil painting, figurative art, large painting, women painting, abstract, nude",Women,"Fine Art, Portraiture, Figurative","Acrylic, Oil",Canvas,"$4,910.00",Painting,39.4  H, 27.6  W,0.8
/art/Painting-East-German-Impression/67748/2730893/view,Matthias Kreher,Germany,"building, history, impression, landscape, nature",Landscape,"Impressionism, Fine Art, Realism",Acrylic,Paper,$880.00,Painting,27.6  H, 19.7  W,0.4
/art/Painting-Dream-of-Balet/683318/2790050/view,Sini*a Simon,Croatia,"fine art, colorism, balet dancers, impressionism, modern",Fantasy,"Impressionism, Fine Art, Modern",Oil,Canvas,"$1,240.00",Painting,11.8  H, 19.7  W,0.8
/art/Painting-Eden-During-the-Winter/802200/2751795/view,Ivan Gotsev,Bulgaria,"sea, winter, abstract art, oil on canvas, natural colors, abstract landscape, natural philosophy, expressionism, modern, nature",Abstract,"Abstract, Abstract Expressionism, Modern, Conceptual, Fine Art",Oil,"Canvas, Wood",$650.00,Painting,19.7  H, 23.6  W,0.8
/art/Painting-Tatiana-The-woman-in-love/88246/1789501/view,Olga Romanova,Russia,"painting, people, portrait, woman, expressionism, olga romanova, art, love, oil",People,"Expressionism, Dada, Fine Art, Impressionism, Modern",Oil,Canvas,"$7,700.00",Painting,31.5  H, 27.6  W,0.8
/art/Painting-Uncertain-Principle/797036/2600986/view,Robert Schmid,United States,"beauty, quantum theory, speed, travel, water, heisenberg , manhattan, city, light",Nature,"Fine Art, Realism, Conceptual, Modern",Oil,Wood,"$4,850.00",Painting,10.3  H, 63.5  W,1.3
/art/Painting-Pisces-and-Sagittarius-in-Aix-en-Provence/51708/2939867/view,Mahmoud Menaysy on Saatchi,,"painting, Aix-en-Provence, Middle East, abstract, figurative",Nude,"Fine Art, Figurative, Abstract Expressionism",Oil,Wood,"$5,410.00",Painting,54.3  H, 27.6  W,1.3
/art/Painting-On-the-Edge-of-Nothingness/752879/2980054/view,Sylvie Adams,Canada,"powerful, red, black, space, white, Lanscape, edge, impact",Abstract,"Abstract, Abstract Expressionism, Fine Art, Expressionism, Modern","Acrylic, Ink",Canvas,"$2,160.00",Painting,36  H, 48  W,1.5
/art/Painting-Throne/50937/2433723/view,Alexey Adonin,Israel,"power, representation, will, nietzsche, philosophical, dream, otherwordly, mystical",Fantasy,"Surrealism, Abstract, Abstract Expressionism, Figurative, Fine Art",Oil,Canvas,"$1,790.00",Painting,27.6  H, 39.4  W,1.2
/art/Painting-Untitled/92577/2309372/view,Chris Neyen,United States,"trees, organic, Vertical forms, layered, linear",Abstract,Fine Art,"Oil, Paint, Paper, Wax",Canvas,"$3,110.00",Painting,50  H, 40  W,2
/art/Painting-Roses/899412/3113544/view,Tatyana Soletska,Ukraine,"realism, roses, watercolor, fineart, folk",Still Life,"Fine Art, Realism, Folk",Watercolor,Paper,$445.00,Painting,24  H, 16.9  W,0.4
/art/Painting-old-dogs-new-tricks/68216/2553633/view,Charlotte Evans,United States,"Hawaiian, skate, skateboarding, blue, street, urban, age, tricks, dark, grandpa, midnight, night",People,"Figurative, Fine Art, Impressionism, Street Art, Portraiture",Oil,Canvas,"$1,850.00",Painting,24  H, 20  W,1.5
/art/Painting-Street-Musicians/17356/2560695/view,Irena Jablonski,United States,"bench, relief, street, violin, woman, guitar, costumes, facades, figures, triforium, architecture, historic",Music,"Expressionism, Figurative, Fine Art, Impressionism, Realism",Oil,Canvas,"$1,600.00",Painting,16  H, 20  W,1
/art/Painting-Guests-Detail/57954/1438288/view,Yulia Luchkina,Russia,"painting, people, red, shine, yellow, art, guests, holiday, light, mystery",World Culture,"Art Deco, Figurative, Fine Art",Mixed Media,Canvas,"$16,000.00",Painting,31.5  H, 31.5  W,0.8
/art/Painting-SUN-RAYS/412083/2368152/view,Maria Marachowska,Germany,"painting, blue, sun, berlin , sun rays, Marachowska ART, 2015",Abstract,"Impressionism, Fine Art",Acrylic,Canvas,"$1,640.00",Painting,23.6  H, 23.6  W,0.4
/art/Painting-Shine-For-Me/12463/2646824/view,Roger Colson,United Kingdom,"red, sea, sky, sun, sunset, warm, sunrie, orange",Landscape,Fine Art,Oil,Canvas,"$3,710.00",Painting,36  H, 36  W,2.4
/art/Painting-painting-abstract-painting-by-Jolina-Anthony/686569/3144840/view,Jolina Anthony,Spain,"painting, abstract art, abstract painting , large painting, very large painting, modern painting",Abstract,"Fine Art, Modern, Abstract","Acrylic, Oil, Watercolor, Marker, Pastel",Canvas,"$1,970.00",Painting,32  H, 60  W,1.2
/art/Painting-Giverny-037-Abstract-N-1660/91068/3106369/view,Koen Lybaert,Belgium,"reflections, water, abstract, garden,  Giverny, nature",Nature,"Abstract, Fine Art, Abstract Expressionism",Oil,Canvas,$655.00,Painting,19.7  H, 19.7  W,0.2
/art/Painting-The-Kaleidoscope/696058/2400538/view,Megan Kelly,,"acrylic, pattern, circles, expressionism, abstract",Abstract,"Abstract Expressionism, Fine Art",Acrylic,Canvas,$250.00,Painting,12  H, 12  W,1
/art/Painting-Urban-Jesus/126304/3015114/view,Joshua Jenkins,United States,"portrait, religion, street, body, urban, jesus, dark, expressionism, face, man, modern",Graffiti,"Street Art, Fine Art, Expressionism, Modern, Dada","acrylic, paper, gesso, charcoal, gesso",Canvas,"$2,150.00",Painting,40  H, 30  W,1.8
/art/Painting-Untraveled-Red-3/767442/2670939/view,Susan Washington,United States,"pink, red, asian , abstract painting , contemporary, japaense, modern",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern","Acrylic, Paper, Paint",Wood,"$1,350.00",Painting,48  H, 18  W,1.5
/art/Painting-Before-the-dawn/168674/1975330/view,Lena Saprykina,Russia,"inkpainting, zen, Contemporary Painting, inkonpaper, dandelion, lenasaprykina, zenart, artcollector, exotic, flowers, contemporaryartist, Artfair",Floral,"Abstract Expressionism, Expressionism, Figurative, Fine Art, Abstract",Ink,Paper,$740.00,Painting,21.3  H, 13  W,0.4
/art/Painting-Journey-s-End/765179/3018854/view,Christopher Lyter,United States,"reflection, sunset, twilight, water, yellow, clouds, abstract, landscape, light, mountains, ocean, orange",Landscape,"Abstract, Fine Art",Oil,Canvas,"$3,085.00",Painting,60  H, 48  W,1.5
/art/Painting-blaues-Land/653828/2921633/view,Skadi Engeln,Germany,"sad, blue, trees, clouds, melacholic, TRISTE, horizon, landscape",Landscape,"Abstract, Figurative, Fine Art, Impressionism, Modern","Oil, Tempera, waxpastels",Canvas,"$11,100.00",Painting,78.7  H, 141.7  W,0.8
/art/Painting-YOUNG/743667/2391228/view,Agnieszka Niechcial,,"red, black, blue, body, white, young, acrylic painting, Agnieszka Niechcial, man",Body,"Figurative, Fine Art",Acrylic,Canvas,"$1,640.00",Painting,31.5  H, 23.6  W,0.8
/art/Painting-old-dogs-new-tricks/68216/2553633/view,Charlotte Evans,United States,"Hawaiian, skate, skateboarding, blue, street, urban, age, tricks, dark, grandpa, midnight, night",People,"Figurative, Fine Art, Impressionism, Street Art, Portraiture",Oil,Canvas,"$1,850.00",Painting,24  H, 20  W,1.5
/art/Painting-red-apples/805287/2668976/view,HYZHY OLEH,Ukraine,"red, sweet, eating, apples, girl",Women,Fine Art,Oil,Canvas,"$1,640.00",Painting,23.6  H, 19.7  W,0.7
/art/Painting-Portrait-works-UNTITLED/805291/2950675/view,Tomoya N,Japan,"portrait, president, USA, fineart, Popart, spraypaint, Obama, contemporary, popculture, modernart, abstract, figure",Portrait,"Abstract, Fine Art, Modern, Pop Art, Street Art",Spray Paint,Canvas,"$1,030.00",Painting,17.9  H, 14.9  W,1
/art/Painting-Square-No-232/175553/2828918/view,Yong Sin,United States,"repetitive, squares, collaged painting, hard edge, abstract, geometric, group structure, minimal",Abstract,"Abstract, Conceptual, Fine Art, Minimalism",Acrylic,"Paper, Wood, Other","$4,850.00",Painting,24  H, 24  W,1.5
/art/Painting-Man-at-Work/710467/2474010/view,Mary Veazie,United States,"car, chef, black/white, abstract, figure, male, modern",Men,"Figurative, Expressionism, Impressionism, Fine Art, Modern",Acrylic,Canvas,"$1,790.00",Painting,30  H, 24  W,1.5
/art/Painting-Waterfront-Living/763642/2332937/view,Karen Stanol,,"beach, seascape, sky, water, astract, floating, landscape",Water,"Expressionism, Fine Art, Impressionism",Acrylic,Paper,$395.00,Painting,9  H, 12  W,1
/art/Painting-composition/884504/2998287/view,ORKUN BORAGAN,Turkey,"color, abstract, history, image, modern",Abstract,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern","Acrylic, Oil",Canvas,$810.00,Painting,19.7  H, 23.6  W,1
/art/Painting-Inwards/690842/2745564/view,Marcel Garbi,United Kingdom,"pensive, terrace, thinking, woman, afternoon, daydreaming, depth, feeling, refect, inner, lady, meditation",Portrait,"Modern, Fine Art, Portraiture","Ink, Watercolor",Paper,"$1,015.00",Painting,19.7  H, 23.2  W,0
/art/Painting-tenement-girl/27231/2845341/view,Tim Fawcett,United Kingdom,"photo, red, tenement, vintage, girl, green",Children,"Documentary, Expressionism, Figurative, Fine Art","Acrylic, Enamel, Spray Paint",Canvas,"$1,315.00",Painting,39.4  H, 31.5  W,1.2
/art/Painting-China/901417/3135200/view,DAO WEI,United States,"time, china, polution, development, history",Time,Fine Art,Oil,Canvas,"$2,710.00",Painting,36  H, 24  W,1.5
/art/Painting-Little-Red-Boat/900882/3119655/view,Teri Paquette,Canada,"little boat, red boat, water, anchored, dingy",Boat,Fine Art,Oil,Canvas,"$1,320.00",Painting,16  H, 20  W,1.5
/art/Painting-THEODICY-part-3-Double-Fantasy/671421/3148501/view,jerzy cepi*ski,Poland,"relief, contemplative, lenon, fingerprints, grey, contepual, minimal",Abstract,"Abstract, Fine Art, Minimalism, Modern",Acrylic,Canvas,"$9,100.00",Painting,39.4  H, 78.7  W,1.6
/art/Painting-Large-hyperrealistic-nude/91026/3228814/view,Valeri Tsvetkov,Bulgaria,"realistic, large wall art, Oversized Art, canvas painting, hyperrealism, large nude, nude portrait, Nude woman, erotic, woman portrait, certificate attached, seeping woman",Nude,"Figurative, Modern, Fine Art, Photorealism, Portraiture",Oil,Canvas,"$4,995.00",Painting,37.4  H, 47.2  W,0.8
/art/Painting-Stone/805252/2830639/view,Tamta Dolidze,Georgia,"fine art, conceptual, contemporary, abstract, art, artist, Tamta Dolidze",Abstract,"Abstract, Fine Art, Minimalism",Watercolor,Paper,$135.00,Painting,12  H, 9  W,1
/art/Painting-Connected-London-Zoom/693863/3174555/view,M a r t y n o v a,United Kingdom,"oversized, patterns, beige, sky, splatter, Cityscape, deep blue, connection, dripping, flying, geometric, large",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern, Expressionism","Watercolor, Ink",Paper,"$1,820.00",Painting,59.1  H, 39.4  W,0.1
/art/Painting-Heady-hazy-drowsy-dream/342443/2492748/view,Lara Cobden,United Kingdom,"summer, warm, buzz, allotment, heady, dream, fragrant, garden, glow, hazy",Garden,"Fine Art, Figurative, Impressionism","Gesso, Oil",Wood,$880.00,Painting,7.9  H, 15.7  W,0.8
/art/Painting-Tight-Knit/777188/2609003/view,Christopher Owen Nelson,United States,"black, blue, tree, white, Owen, nelson, aspen, nature, christopher, orange",Tree,"Abstract, Abstract Expressionism, Conceptual, Fine Art, Impressionism",Acrylic,Other,"$7,300.00",Painting,48  H, 24  W,1
/art/Painting-Corps-de-Ballet/338418/3123279/view,Mary Ann Wakeley,United States,"abstract art, abstract painting , mary ann wakeley, Mixed Media on paper, color, energy, movement",Abstract,"Abstract, Abstract Expressionism, Fine Art, Contemporary Art","Acrylic, Pastel",Paper,$501.00,Painting,19  H, 24  W,0.2
/art/Painting-Golden-Desert-Light-II/8299/2272314/view,Gerry Dudgeon,United Kingdom,"diagonals, desert, golden, light, morocco",Landscape,Fine Art,Acrylic,Canvas,"$4,970.00",Painting,26  H, 29.9  W,1
/art/Painting-The-Turn/782692/2534959/view,Mira M White,United States,"painterly, textured, vibrant, abstract, figurative",Women,"Figurative, Fine Art, Abstract","Wax, Oil","Canvas, Wood, Other","$5,375.00",Painting,48  H, 36  W,2
/art/Painting-Grapes-and-Paper/900375/3105346/view,Tracy Williams,United States,"acrylic, paper, watercolor, contemporary, grapes, gray, green, ink",Still Life,"Realism, Photorealism, Modern, Fine Art","Watercolor, Acrylic, Ink",Paper,"$1,950.00",Painting,22  H, 30  W,0.2
/art/Painting-220916-cityscape-evening/481815/3189135/view,Konrad Biro,,"textured, Cityscape, abstract, impressionism, knife, landscape, minimal, oil",Architecture,"Abstract, Fine Art, Minimalism, Impressionism, Modern",Oil,Wood,$200.00,Painting,7.9  H, 7.7  W,0.1
/art/Painting-Toxic-Rain-Drops/742814/2443167/view,Tiffany Wright,United States,"pink, black, modern wall art, abstract art, wall art, modern art, abstract wall art, abstract, canvas wall art, modern",Abstract,"Abstract, Abstract Expressionism, Modern, Expressionism, Fine Art","Gesso, Oil",Canvas,$900.00,Painting,22  H, 28  W,0.5
/art/Painting-Dancing-Seedheads/204278/3013275/view,Lynne Fitzpatrick,United Kingdom,"seeds, blue, browns, floral, flowers, grasses, green, hay, mauve, orange",Floral,"Figurative, Fine Art, Impressionism","Acrylic, canvas board",Other,$545.00,Painting,10  H, 14  W,0.1
/art/Painting-Beauty-of-Monsoon-Himalaya-Mountain/4169/2688452/view,Samiran Sarkar,India,"painting, paper, watercolor painting, Himalaya, art, landscape, mountain",Landscape,Fine Art,Watercolor,Paper,$760.00,Painting,22  H, 11  W,1
/art/Painting-Reborn/861255/2860694/view,lucea eldemire,United Kingdom,"brown, contemporary, orignal, female, figurative, large, christian art, nude, oil",Religious,"Figurative, Conceptual, Fine Art, Illustration",Oil,Canvas,"$2,290.00",Painting,56  H, 44  W,2
/art/Painting-Black/774805/3043071/view,Oleksandr Balbyshev,Ukraine,"portrait, black, sensuality, sad boy, boy, Black Background, young man, eyes, face, male",Portrait,"Fine Art, Figurative, Minimalism, Modern, Realism","Acrylic, Oil",Canvas,$460.00,Painting,23.6  H, 17.7  W,0.8
/art/Painting-Black-corner/543752/1771272/view,IChin Liao,Taiwan,"black, fineart, oilpainting, abstract expression, composition, contemporary, emotion, abstract, artist, artwork, imagination, intuition",Abstract,"Abstract, Abstract Expressionism, Fine Art, Expressionism, Conceptual",Oil,"Canvas, Soft (Yarn, Cotton, Fabric)","$1,640.00",Painting,28.5  H, 36  W,2
/art/Painting-Symphony/21863/2810501/view,Lee Campbell,United Kingdom,"sky, spiritual, sunrise, sunset, clouds, inspirational",Landscape,"Figurative, Fine Art",Oil,Canvas,"$1,960.00",Painting,30  H, 30  W,1.5
/art/Painting-The-Hunter-s-Shimmering-Forest-A-Large-Colourful-Semi-Abstract-Landscape/3154/2809013/view,Gill Bustamante,United Kingdom,"colourful paintings, abstract landscape, owl in wood, barn owl hunting, barn owl art, vibrant coloue art, contemporary art deco, large original oil paintings, sussex art",Landscape,"Abstract Expressionism, Art Deco, Expressionism, Fine Art, Modern","Oil, Acrylic",Canvas,"$1,610.00",Painting,36  H, 36  W,1.5
/art/Painting-BULB/680839/2576071/view,TJ Silverlake,United States,"watercolor, Pop art, electronic, light bulb, metallic",Popular culture,"Fine Art, Expressionism","Ink, Paper, Digital",Paper,"$1,030.00",Painting,42  H, 42  W,0.1
/art/Painting-Abstract-painting/743915/2725205/view,Mika Natri,Finland,"painting, fine art, abstract, green, grey, layers, mint",Abstract,"Abstract, Abstract Expressionism, Fine Art",Acrylic,Canvas,"$1,080.00",Painting,11.8  H, 15.7  W,2
/art/Painting-so-blue-so-happy-so-cool/705753/2656909/view,stephen cimini,United States,"monchromatic, blue, contemporary, diebenkorn, cold wax medium, abstract, abstractbeauty, geometric, modern, albers, oil",Geometric,"Abstract, Fine Art, Modern, Minimalism",Oil,Canvas,"$2,010.00",Painting,40  H, 20  W,3
/art/Painting-Reinvention/209768/2985169/view,Lorette C Luzajic,Canada,"Mixed Media,  blue, square foot, warhol, collage, small works,  marilyn monroe",Celebrity,"Abstract, Fine Art, Pop Art, Modern, Street Art","Acrylic, Spray Paint, Graphite, Paper, Gouache",Canvas,$160.00,Painting,12  H, 12  W,0.8
/art/Painting-Plitvice-lakes/564377/2595496/view,Giovanni Pirondini,Italy,"blue, perpsective, lake, landscape, oil",Landscape,"Fine Art, Figurative, Expressionism",Oil,Wood,$760.00,Painting,17.7  H, 22.8  W,1.2
/art/Painting-Stopped-Time-II/5961/2384529/view,Rusudan Khizanishvili,Georgia,"wolf, black room, yellow, ceomentric, ghost",Animal,"Fine Art, Abstract Expressionism, Expressionism, Modern","Acrylic, Ink, collage",Canvas,$840.00,Painting,14.2  H, 14.2  W,0.8
/art/Painting-Migration-Loving-you-deeply/693863/3109600/view,M a r t y n o v a,United Kingdom,"oversized, pattern, pink, purple, sky, blue, vibrant, skyscape, clouds, fly, hurricane, atmospheric",Abstract,"Abstract, Expressionism, Abstract Expressionism, Modern, Fine Art","Acrylic, Oil, Watercolor",Canvas,"$3,910.00",Painting,47.2  H, 39.4  W,1.1
/art/Painting-Dreaming-in-the-white-light-1/58313/2141739/view,Mark Fearn,United Kingdom,"blue, texture, white, yellow, cream",Abstract,"Abstract, Fine Art, Minimalism","Acrylic, Enamel, Ink, Oil",Wood,$660.00,Painting,24  H, 22  W,0.5
/art/Painting-old-Brooklyn/805291/2694066/view,Tomoya N,Japan,"spray, street, Cityscape, new york, NYC, Brooklyn , NY, contemporary art, composition, newyork, landscape, modern",Landscape,"Fine Art, Modern, Street Art, Pop Art, Abstract",Spray Paint,Canvas,"$3,850.00",Painting,39.4  H, 39.4  W,1
/art/Painting-lavis-tisse-n-4-2016/928673/3238898/view,Fr*d*rique Fleury,France,"sewing thread, transparency, watercolor, weaving, circle, composition, work on paper, ink",Abstract,"Abstract, Abstract Expressionism, Art Deco, Fine Art, Modern","Watercolor, Ink, Pastel",Paper,$435.00,Painting,12.6  H, 9.4  W,0.2
/art/Painting-Eddie/857122/3239193/view,Wes Karchut,United States,"portrait, watercolor, face, fashion, figurative",Women,"Figurative, Fine Art",Watercolor,Paper,$135.00,Painting,12  H, 8.5  W,0.1
/art/Painting-Safe/65569/3046565/view,Viktoria Shvoren,Russia,"blue, yellow, abstract, grey, landscape",Abstract,"Abstract Expressionism, Abstract, Fine Art",Oil,Canvas,"$1,440.00",Painting,27.6  H, 27.6  W,0.6
/art/Painting-Normal-life-The-two-women/820837/2666117/view,heesoo kim,South Korea,"street, women, flower, girl, life",Women,"Pop Art, Fine Art, Illustration, Art Deco, Documentary","Acrylic, Gesso","Canvas, Wood","$3,250.00",Painting,66.1  H, 53.1  W,1
/art/Painting-Unscripted/821532/3170513/view,Toyin Alabi,United Kingdom,"acrylic, black, writings, contemporary, cream, etchings, abstract, mordern, grey, markings, oil, original",Abstract,"Abstract, Fine Art, Minimalism, Surrealism","Oil, Acrylic, Charcoal, Pastel, Pencil",Canvas,"$2,655.00",Painting,54  H, 74  W,0.1
/art/Painting-The-coast-touching-the-sea/56712/3145740/view,Nelly van Nieuwenhuijzen,Netherlands,"painting, purple, sea, seascape, DUTCH, coast, bird's eye view, glider plane, salting",Landscape,"Modern, Fine Art",Acrylic,Canvas,"$1,190.00",Painting,31.5  H, 31.5  W,0.8
/art/Painting-Memories/897717/3074842/view,JULIA RODRIGUEZ,United States,"blues, fine art, expressionism, abstract, greens, modern, oil",Abstract,"Abstract Expressionism, Fine Art, Modern",Oil,Canvas,"$4,550.00",Painting,24  H, 30  W,1
/art/Painting-Mantras/93893/2894804/view,Aljona Shapovalova,Russia,"texts, thoughts, words, abstraction, mantra",Abstract,"Abstract, Abstract Expressionism, Conceptual, Fine Art",Acrylic,"Wood, Other","$2,750.00",Painting,39.4  H, 27.6  W,1.2
/art/Painting-Soul-Serenity/804423/3109946/view,Deborah Pow,Canada,"beautiful, scenic, serene, sunset, trees, yellow, calming, fog, green, landscape, meadow, mist",Landscape,"Fine Art, Photorealism, Realism, Art Deco, Modern",Acrylic,Canvas,$195.00,Painting,16  H, 20  W,1
/art/Painting-IMAGINE-XV/95582/3066816/view,Robert Gheyssens,France,"abstract, imagine, landscape, modern, nature",Abstract,"Abstract, Fine Art, Modern",Acrylic,Canvas,"$3,110.00",Painting,39.4  H, 39.4  W,1.2
/art/Painting-Untitled/228888/2241942/view,suheyla sabir,Turkey,"red, textile, collage, color, fabric, abstract, art, grey, lace, modern",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern","Fabric, Acrylic, Textile",Canvas,"$3,750.00",Painting,39.4  H, 39.4  W,2
/art/Painting-female-energy/716515/2801174/view,BUEFFEL FISH,Germany,"bone, white, subtil, floral, forms",Floral,"Abstract, Abstract Expressionism, Expressionism, Fine Art, Modern",Acrylic,Canvas,"$2,950.00",Painting,27.6  H, 27.6  W,1.6
/art/Painting-Onion-III/870136/3108193/view,Joy Nguyen,United States,"blue, oil painting, postimpressionism, green, impressionism, onion, orange",Food,"Impressionism, postimpressionism, Fine Art",Oil,Paper,$135.00,Painting,5  H, 7  W,0.1
/art/Painting-Paris/4093/3189887/view,Eric Armusik,United States,"realism, Paris, figurative art, Greek Mythology, portrait painting, Representational Art, Contemporary Realism, classical realism, Realist Painting",People,"Realism, Portraiture, Fine Art, Figurative",Oil,Aluminium,"$3,210.00",Painting,14  H, 11  W,0.1
/art/Painting-Fashion-chickadee/3481/2298456/view,Irina Worger,United Kingdom,"birds, chickadee, woman, dress, legs",Fashion,"Figurative, Fine Art, Modern",Oil,Canvas,"$1,620.00",Painting,47.2  H, 30.7  W,0.2
/art/Painting-Stucco-Palms/767364/2486514/view,Noelle Timmons,,"beach, california, blue sky, apartment building, la, city, Palm Trees, beach front",Landscape,"Figurative, Fine Art, Pop Art",Oil,Canvas,"$2,390.00",Painting,30  H, 40  W,1.5
/art/Painting-Golden-Tops/399712/3215160/view,Julie Devine,United States,"trees, yellow, expressionist, fall, gold, golden, gray, autumn, leaves, orange",Landscape,"Abstract, Expressionism, Impressionism, Modern, Fine Art",Oil,Canvas,"$3,710.00",Painting,46  H, 40  W,1.5
/art/Painting-Tribes-Bride/899560/3105936/view,Brian Zheng,United States,"tribes, western, woman, INDIAN, girls, horse, Tribes Bride",Portrait,"Fine Art, Expressionism, Modern, Figurative",Oil,Canvas,"$8,000.00",Painting,60  H, 48  W,2
/art/Painting-Colors-5/743930/2462262/view,Eduard Zentsik,United States,"sold, blue, contemporary, zentsik, abstract, modern",Abstract,"Abstract, Abstract Expressionism, Fine Art, Modern",Acrylic,Canvas,"$1,990.00",Painting,27.6  H, 27.6  W,0.8
/art/Painting-the-last-rites-of-spring/188278/2305306/view,Aleksandra Bouquillon,Poland,"payne, spring, white, cyan, abstract, green, grey, landscape",Abstract,"Abstract, Fine Art",Acrylic,Wood,$750.00,Painting,23.6  H, 27.6  W,0.1
/art/Painting-Be-Brave/753578/3221446/view,Steve Smythe,United Kingdom,"painting, screenprint, decollage, steve smythe, Urbanart",Portrait,"Fine Art, Pop Art, Street Art","Acrylic, Household, Spray Paint",Paper,$790.00,Painting,28.3  H, 21.3  W,0.1
/art/Painting-Salmon-dream-Morning-2/855057/2872332/view,Max Kantso,Russia,"roses, morning, Asters, Poetic mood, interior",Still Life,"Fine Art, Modern, Figurative, Contact Realism",Gouache,Paper,$445.00,Painting,23  H, 16  W,0
/art/Painting-Abusrus-Terra-Australis/735292/2617792/view,Rhonda Morrison,United States,"reds, brown, found objects, abstract mixed media, Rhonda Morrison, nuts",Abstract,"Abstract, Fine Art","Acrylic, Found Objects, Wood, Metal","Iron, Wood","$1,000.00",Painting,41.9  H, 36  W,3.3
/art/Painting-GOLDEN-GATE/664392/3065525/view,jean*humbert savoldelli,France,"acrylic, painting, bridge, abstract, SAVOLDELLI, golden gate",Abstract,"Abstract, Abstract Expressionism, Fine Art",Acrylic,Canvas,"$1,660.00",Painting,39.4  H, 39.4  W,0.8
/art/Painting-Snore-In-Church/779963/2640082/view,Mary Jo McGonagle,United States,"pattern, red, blue, text art, decorative, domestic, fun, funny, gossip, graphic, humor",Humor,"Abstract, Conceptual, text art, Fine Art, Pop Art","Acrylic, Enamel",Canvas,$295.00,Painting,12  H, 12  W,2
/art/Painting-Beach-Hut/10411/2431833/view,Simon Hopkinson,United Kingdom,"acrylic, beach, painting, ruin, seaside, sky, tree, british, derelict, exmouth, hut, landscape",Landscape,"Realism, Documentary, Fine Art, Modern",Acrylic,Canvas,$270.00,Painting,7.9  H, 7.9  W,0.8
/art/Painting-Power-and-Fury/901430/3095427/view,Nancy Landauer,United States,"bold, blackandwhite, contemporary, abstract, modern",Abstract,"Abstract, Abstract Expressionism, Fine Art",Acrylic,Other,"$2,910.00",Painting,60  H, 48  W,2
